"Command","Description","Syntax","Parameters","Links","Category","Tags"
"%","Loop through each item in the pipeline "," ForEach-Object [-process] <i>ScriptBlock</i>[] [-inputObject <i>psobject</i>]
 [-begin <i>scriptblock</i>] [-end <i>scriptblock</i>] [-Parallel] [-ThrottleLimit <i>n</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/foreach-object.html","System Utility","Command Execution, Scripting"
"ForEach-Object","Loop through each item in the pipeline "," ForEach-Object [-process] <i>ScriptBlock</i>[] [-inputObject <i>psobject</i>]
 [-begin <i>scriptblock</i>] [-end <i>scriptblock</i>] [-Parallel] [-ThrottleLimit <i>n</i>] [<i><a href=""common.html"">CommonParameters</a></i>]
","Not Available","https://ss64.com/ps/foreach-object.html","System Utility","Command Execution, Scripting"
"?","Filter input from the pipeline."," Where-Object [-filterScript] {<i>scriptblock</i>}
 [-inputObject <i>psobject</i>] [CommonParameters]
 Key
 <pre>Syntax
 <i>command</i> | <b>Where</b> <i>test1</i> [<i>conjunction test2</i>] 
 Key
 <p class=""space""><a href=""syntax-regex.html"">PowerShell Syntax - Regular Expressions</a><br>
"," -FilterScript <i>scriptblock</i>
 An expression that resolves to a Boolean (TRUE/FALSE) value.
 This will determine which input objects will be passed along the command pipeline.
 -inputObject <i>psobject</i>
 The objects to be filtered. Typically objects are passed through the pipeline.
 When the -InputObject parameter is used to submit a collection of items,
 Where-Object receives one object that represents the collection.
 Because one collection object cannot be filtered, Where-Object returns the entire collection unchanged.
 To convert multiple items, pipe them to Where-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 <p>The '?' symbol and Where are both aliases for Where-Object. 
 Key
 <i>conjunction</i> Any of the following: (logical boolean operators) 
 -and, -or (Logical or), -bor (Bitwise or), -band (Bitwise and), -xor 
 <i>Test1</i> An expression that resolves to a Boolean (TRUE/FALSE) value.
 <i>Test2</i> An expression that resolves to a Boolean (TRUE/FALSE) value.
 comparison operators
","https://ss64.com/ps/where-object.html","method             ","Command Execution, Scripting"
"Where-Object","Filter input from the pipeline."," Where-Object [-filterScript] {<i>scriptblock</i>}
 [-inputObject <i>psobject</i>] [CommonParameters]
 Key
 <pre>Syntax
 <i>command</i> | <b>Where</b> <i>test1</i> [<i>conjunction test2</i>] 
 Key
 <p class=""space""><a href=""syntax-regex.html"">PowerShell Syntax - Regular Expressions</a><br>
"," -FilterScript <i>scriptblock</i>
 An expression that resolves to a Boolean (TRUE/FALSE) value.
 This will determine which input objects will be passed along the command pipeline.
 -inputObject <i>psobject</i>
 The objects to be filtered. Typically objects are passed through the pipeline.
 When the -InputObject parameter is used to submit a collection of items,
 Where-Object receives one object that represents the collection.
 Because one collection object cannot be filtered, Where-Object returns the entire collection unchanged.
 To convert multiple items, pipe them to Where-Object.
 This parameter is an implementation detail: its purpose is to enable input via the pipeline, and its
 direct use with arrays (collections) does not (yet) provide any useful functionality.
 <p>The '?' symbol and Where are both aliases for Where-Object. 
 Key
 <i>conjunction</i> Any of the following: (logical boolean operators) 
 -and, -or (Logical or), -bor (Bitwise or), -band (Bitwise and), -xor 
 <i>Test1</i> An expression that resolves to a Boolean (TRUE/FALSE) value.
 <i>Test2</i> An expression that resolves to a Boolean (TRUE/FALSE) value.
 comparison operators
","https://ss64.com/ps/where-object.html","method             ","Command Execution, Scripting"
"Get-Acl","Get permission settings for a file or registry key."," get-acl [[-Path] <i>path </i>[] ] [-Filter <i>String</i>]
 [-Include <i>String</i>] [-Exclude <i>String</i>]
 [-Audit []] [-UseTransaction] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Path <i>path</i> The path to the item {may be piped}
 -Filter <i>String</i> Filter elements as required and supported by providers
 -Include <i>String</i> Item(s) upon which Get-acl will act, wildcards are permitted
 -Exclude <i>String</i> Item(s) upon which Get-acl is not to act
 -Audit Retrieve audit data for this item from the System ACL
 -UseTransaction Include the command in the active transaction.
","https://ss64.com/ps/get-acl.html","Enumeration","ACL"
"Set-Acl","Set permissions."," Set-Acl [-path] <i>string</i>[] [-aclObject] <i>ObjectSecurity</i>
 [-Include <i>String</i>] [-Exclude <i>String</i>]
 [-filter <i>string</i>] [-passThru] [-whatIf]
 [-confirm] [-UseTransaction] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Path <i>path</i>
 Path to the item to be changed {accepts wildcards}
 If a security object is passed to Set-Acl (either via -AclObject 
 or by passing an object from Get-Acl), and -Path is omitted,
 Set-Acl will use the path that is included in the security object.
 -AclObject <i>ObjectSecurity</i>
 An ACL with the desired property values.
 Often the output of a Get-Acl command saved in a variable.
 -Filter <i>string</i>
 A filter in the provider's format or language. 
 The exact syntax of the filter (wildcard support etc) depends on the provider.
 Filters are more efficient than -include/-exclude, because the provider
 applies the filter when retrieving the objects, rather than having 
 PowerShell filter the objects after they are retrieved.
 -include <i>string</i>
 Include only the specified items from the Path. e.g. May*
 This qualifies the -Path parameter and normally includes a wildcard.
 
 -Exclude <i>string</i>
 Omit the specified items from the Path e.g. *SS64*&quot;
 This qualifies the -Path parameter and normally includes a wildcard.
 -PassThru 
 Pass the object created by Set-Acl through the pipeline.
 -WhatIf
 Describe what would happen if you executed the command without
 actually executing the command.
 -Confirm
 Prompt for confirmation before executing the command.
 -UseTransaction
 Include the command in the active transaction.
","https://ss64.com/ps/set-acl.html","System Administration","ACL"
"Get-Alias","Return alias names for Cmdlets."," Get-Alias [ [-Name] <i>string</i>[] ]
 [-scope <i>string</i>] [-exclude <i>string</i>[] ] [<i><a href=""common.html"">CommonParameters</a></i>]
 Get-Alias [-Definition <i>string</i>[]]
 [-scope <i>string</i>] [-exclude <i>string</i>[] ] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Name <i>string</i>[]
 The alias to retrieve. By default, all aliases defined for the current session.
 (the -Name is optional)
 -Definition <i>string</i>[] Get the aliases for the specified item.
 Enter the name of a cmdlet, function, script, file, or executable. The alias object contains a property called 'Definition' which
 holds this information for each Alias.
 -scope <i>string</i>
 The scope in which this alias is valid. 
 Valid values are Global, Local, or Script, or a number relative
 to the current scope ( 0 through the number of scopes, where 0 is the
 current scope and 1 is its parent). Local is the default.
 For more, type get-help about_scope.
 -exclude <i>string</i>[]
 Omit the specified items, wildcards allowed e.g. *ms*&quot;
","https://ss64.com/ps/get-alias.html","Enumeration, System Utility, Command Obfuscation","Alias"
"gal","Return alias names for Cmdlets."," Get-Alias [ [-Name] <i>string</i>[] ]
 [-scope <i>string</i>] [-exclude <i>string</i>[] ] [<i><a href=""common.html"">CommonParameters</a></i>]
 Get-Alias [-Definition <i>string</i>[]]
 [-scope <i>string</i>] [-exclude <i>string</i>[] ] [<i><a href=""common.html"">CommonParameters</a></i>]
"," -Name <i>string</i>[]
 The alias to retrieve. By default, all aliases defined for the current session.
 (the -Name is optional)
 -Definition <i>string</i>[] Get the aliases for the specified item.
 Enter the name of a cmdlet, function, script, file, or executable. The alias object contains a property called 'Definition' which
 holds this information for each Alias.
 -scope <i>string</i>
 The scope in which this alias is valid. 
 Valid values are Global, Local, or Script, or a number relative
 to the current scope ( 0 through the number of scopes, where 0 is the
 current scope and 1 is its parent). Local is the default.
 For more, type get-help about_scope.
 -exclude <i>string</i>[]
 Omit the specified items, wildcards allowed e.g. *ms*&quot;
","https://ss64.com/ps/get-alias.html","Enumeration, System Utility, Command Obfuscation","Alias"
"Export-Alias","Export currently defined aliases to a file."," Export-Alias [<b>-path</b>] <i>string</i> [[-name] <i>string</i>[]]
 [-as {<u>Csv</u> | Script}] [-append] [-description <i>string</i>]
 [-scope <i>string</i>] [-force] [-passThru] [-noClobber]
 [-whatIf] [-confirm] [CommonParameters]
"," -path <i>string</i>
 The path to the file where the alias information will be stored.
 Wildcards are permitted, but the resulting path value must resolve to a  single file name. This parameter is required.
 -name <i>string</i>
 The name(s) of the aliases to export.
 Separate multiple names with commas, (default=all aliases)
 By default, Export-Alias exports all aliases in the session or scope.
 
 -passThru 
 Pass the object created by this cmdlet along the pipeline.
 
 -as <i>ExportAliasFormat</i>
 Format output as comma-separated (<u>CSV</u>) or (Script).
 Script will create a Set-Alias command for each exported alias. If the
 output file is named with a .ps1 filename extension, it can be run
 as a script to add the aliases to any session.
 -append
 Append output to the specified file, rather than overwrite.
 
 -description <i>string</i>
 Add a description to the exported file. The description appears
 at the top of the file, following the header information. It is
 preceded by a # symbol.
 
 -scope <i>string</i>
 Either a named scope: global, local, or script; or a number
 to indicate the scope level. Scope = 0 = current scope
 Increasing the scope value by 1 will increate the scope to include the
 parent scope of the current scope. 
 
 -noClobber
 Do not overwrite an existing file, -Append will take precendence over -NoClobber.
 
 -force
 Override the read-only attribute on the output file.
 By default, Export-Alias will overwrite files without warning, unless the
 read-only or hidden attribute is set or -NoClobber is used.
 The -NoClobber parameter takes precedence over -Force when both are used in a command.  The Force parameter cannot force Export-Alias to overwrite files with the hidden attribute.
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
 
 -confirm
 Prompt for confirmation before executing the command.
 
","https://ss64.com/ps/export-alias.html","File Manipulation, System Utility, Obfuscation","Alias"
"epal","Export currently defined aliases to a file."," Export-Alias [<b>-path</b>] <i>string</i> [[-name] <i>string</i>[]]
 [-as {<u>Csv</u> | Script}] [-append] [-description <i>string</i>]
 [-scope <i>string</i>] [-force] [-passThru] [-noClobber]
 [-whatIf] [-confirm] [CommonParameters]
"," -path <i>string</i>
 The path to the file where the alias information will be stored.
 Wildcards are permitted, but the resulting path value must resolve to a  single file name. This parameter is required.
 -name <i>string</i>
 The name(s) of the aliases to export.
 Separate multiple names with commas, (default=all aliases)
 By default, Export-Alias exports all aliases in the session or scope.
 
 -passThru 
 Pass the object created by this cmdlet along the pipeline.
 
 -as <i>ExportAliasFormat</i>
 Format output as comma-separated (<u>CSV</u>) or (Script).
 Script will create a Set-Alias command for each exported alias. If the
 output file is named with a .ps1 filename extension, it can be run
 as a script to add the aliases to any session.
 -append
 Append output to the specified file, rather than overwrite.
 
 -description <i>string</i>
 Add a description to the exported file. The description appears
 at the top of the file, following the header information. It is
 preceded by a # symbol.
 
 -scope <i>string</i>
 Either a named scope: global, local, or script; or a number
 to indicate the scope level. Scope = 0 = current scope
 Increasing the scope value by 1 will increate the scope to include the
 parent scope of the current scope. 
 
 -noClobber
 Do not overwrite an existing file, -Append will take precendence over -NoClobber.
 
 -force
 Override the read-only attribute on the output file.
 By default, Export-Alias will overwrite files without warning, unless the
 read-only or hidden attribute is set or -NoClobber is used.
 The -NoClobber parameter takes precedence over -Force when both are used in a command.  The Force parameter cannot force Export-Alias to overwrite files with the hidden attribute.
 -whatIf
 Describe what would happen if you executed the command without actually
 executing the command.
 
 -confirm
 Prompt for confirmation before executing the command.
 
","https://ss64.com/ps/export-alias.html","File Manipulation, System Utility, Obfuscation","Alias"
