Command,Description,Syntax,Parameters,Category,Tags
active,"On basic disks, marks the partition with focus as active. Only partitions can be marked as active. A partition must be selected for this operation to succeed. Use the select partition command to select a partition and shift the focus to it.",active,No description Available,System Administration,Disk/Volume Management
add,"Adds volumes to the set of volumes that are to be shadow copied, or adds aliases to the alias environment. If used without subcommands, add lists the current volumes and aliases.",add,"volume - Adds a volume to the Shadow Copy Set, which is the set of volumes to be shadow copied
 alias - Adds the given name and value to the alias environment
 /? - Displays help at the command line.",File Manipulation,Disk/Volume Management
add alias,"Adds aliases to the alias environment. If used without parameters, add alias displays help at the command prompt. Aliases are saved in the metadata file and will be loaded with the load metadata command.",add alias <aliasname> <aliasvalue>,"<aliasname> - Specifies the name of the alias.
 <aliasvalue> - Specifies the value of the alias.
 `? - Displays help at the command prompt.",System Administration,Command Obfuscation
add volume,"Adds volumes to the Shadow Copy Set, which is the set of volumes to be shadow copied. When a shadow copy is created, an environment variable links the alias to the shadow ID, so the alias can then be used for scripting.",add volume <volume> [provider <providerid>],"<volume> - Specifies a volume to add to the Shadow Copy Set. At least one volume is required for shadow copy creation.
 [provider \<providerid>] - Specifies the Provider ID for a registered provider to use to create the shadow copy. If provider is not specified, the default provider is used.",File Manipulation,"Disk/Volume Management, Shadow"
append,"Allows programs to open data files in specified directories as if they were in the current directory. If used without parameters, append displays the appended directory list.","append [[<drive>:]<path>[;...]] [/x[:o
:off]] [/path:[:o
:off] [/e]","[\<drive>:]<path> - Specifies a drive and directory to append.
 /x:on - Applies appended directories to file searches and launching applications.
 /x:off - Applies appended directories only to requests to open files. The /x:off option is the default setting.
 /path:on - Applies appended directories to file requests that already specify a path. /path:on is the default setting.
 /path:off - Turns off the effect of /path:on.
 /e - Stores a copy of the appended directory list in an environment variable named APPEND. /e may be used only the first time you use append after starting your system.
 ; - Clears the appended directory list.
 /? - Displays help at the command prompt.",File Manipulation,
arp,"Displays and modifies entries in the Address Resolution Protocol (ARP) cache. The ARP cache contains one or more tables that are used to store IP addresses and their resolved Ethernet or Token Ring physical addresses. There is a separate table for each Ethernet or Token Ring network adapter installed on your computer. Used without parameters, arp displays help information.",arp [/a [<inetaddr>] [/n <ifaceaddr>]] [/g [<inetaddr>] [-n <ifaceaddr>]] [/d <inetaddr> [<ifaceaddr>]] [/s <inetaddr> <etheraddr> [<ifaceaddr>]],"[/a [<inetaddr>] [/n <ifaceaddr>] - Displays current arp cache tables for all interfaces. The /n parameter is case-sensitive. To display the arp cache entry for a specific IP address, use arp /a with the inetaddr parameter, where inetaddr is an IP address. If inetaddr is not specified, the first applicable interface is used. To display the arp cache table for a specific interface, use the /n ifaceaddr parameter in conjunction with the /a parameter where inetaddr is the IP address assigned to the interface.
 [/g [<inetaddr>] [/n <ifaceaddr>] - Identical to /a.
 [/d <inetaddr> [<ifaceaddr>] - Deletes an entry with a specific IP address, where inetaddr is the IP address. To delete an entry in a table for a specific interface, use the ifaceaddr parameter where ifaceaddr is the IP address assigned to the interface. To delete all entries, use the asterisk (*) wildcard character in place of inetaddr.
 [/s <inetaddr> <etheraddr> [<ifaceaddr>] - Adds a static entry to the arp cache that resolves the IP address inetaddr to the physical address etheraddr. To add a static arp cache entry to the table for a specific interface, use the ifaceaddr parameter where ifaceaddr is an IP address assigned to the interface.
 /? - Displays help at the command prompt.","Networking, Enumeration",
assign,"Assigns a drive letter or mount point to the volume with focus. You can also use this command to change the drive letter associated with a removable drive. If no drive letter or mount point is specified, the next available drive letter is assigned. If the drive letter or mount point is already in use, an error is generated.","assign [{letter=<d>
 mount=<path>}] [noerr]","letter=<d> - The drive letter you want to assign to the volume.
 mount=<path> - The mount point path you want to assign to the volume
 noerr - For scripting only. When an error is encountered, DiskPart continues to process commands as if the error did not occur. Without this parameter, an error causes DiskPart to exit with an error code.",System Administration,Disk/Volume Management
assoc,"Displays or modifies file name extension associations. If used without parameters, assoc displays a list of all the current file name extension associations.",assoc [<.[ext]>[=[<filetype>]]],"<.ext> - Specifies the file name extension.
 <filetype> - Specifies the file type to associate with the specified file name extension.
 /? - Displays help at the command prompt.",File Manipulation,File Extensions
at,"Schedules commands and programs to run on a computer at a specified time and date. You can use at only when the Schedule service is running. Used without parameters, at lists scheduled commands. You must be a member of the local Administrators group to run this command.","at [\computername] [[id] [/delete]
 /delete [/yes]]","\<computername\> - Specifies a remote computer. If you omit this parameter, at schedules the commands and programs on the local computer.
 <id> - Specifies the identification number assigned to a scheduled command.
 /delete - Cancels a scheduled command. If you omit ID, all of the scheduled commands on the computer are canceled.
 /yes - Answers yes to all queries from the system when you delete scheduled events.
 <time> - Specifies the time when you want to run the command. time is expressed as Hours:Minutes in 24-hour notation (that is, 00:00 (midnight) through 23:59).
 interactive - Allows command to interact with the desktop of the user who is logged on at the time Command runs.
 every: - Runs command on every specified day or days of the week or month (for example, every Thursday, or the third day of every month).
 <date> - Specifies the date when you want to run the command. You can specify one or more days of the week (that is, type M,T,W,Th,F,S,Su) or one or more days of the month (that is, type 1 through 31). Separate multiple date entries with commas. If you omit date, at uses the current day of the month.
 next: - Runs command on the next occurrence of the day (for example, next Thursday).
 <command> - Specifies the Windows command, program (that is, .exe or .com file), or batch program (that is, .bat or .cmd file) that you want to run. When the command requires a path as an argument, use the absolute path (that is, the entire path beginning with the drive letter). If the command is on a remote computer, specify Universal Naming Convention (UNC) notation for the server and share name, rather than a remote drive letter.
 /? - Displays help at the command prompt.",Privileged Command,"Local Admin, Command Scheduling"
atmadm,"Monitors connections and addresses that are registered by the atM call Manager on an asynchronous transfer mode (atM) network. You can use atmadm to display statistics for incoming and outgoing calls on atM adapters. Used without parameters, atmadm displays statistics for monitoring the status of active atM connections.",atmadm [/c][/a][/s],"/c - Displays call information for all current connections to the atM network adapter installed on this computer.
 /a - Displays the registered atM network service access point (NSAP) address for each adapter installed in this computer.
 /s - Displays statistics for monitoring the status of active atM connections.
 /? - Displays help at the command prompt.","Networking, Enumeration",
